"length_inf_cm","length_type","k_1_over_y","t_not_years","sex","m_1_over_y","temperature","l_m","theta","country","locality","questionable","captive","species","family","data_type"
315,"TL",0.03,NA,"",NA,NA,NA,3.47,"","St. Lawrence River","No","No","Acipenser oxyrinchus","Acipenseridae","other annual rings"
57.8,"TL",0.13,NA,NA,0.22,NA,NA,2.64,"","Mediterranean","No","No","Acipenser ruthenus","Acipenseridae","&nbsp"
88.2,"TL",0.12,-1.37,NA,NA,NA,NA,2.97,"Russia","Enisey river","No","No","Acipenser ruthenus","Acipenseridae","other annual rings"
205.4,"TL",0.06,-0.92,NA,NA,NA,NA,3.4,"Russia","Amur river","No","No","Acipenser schrenckii","Acipenseridae","other annual rings"
159.4,"TL",0.17,-0.4,"",NA,NA,NA,3.64,"Russia","Sea of Azov","No","No","Acipenser stellatus","Acipenseridae","other annual rings"
192,"TL",0.054,-10,"F",NA,NA,NA,3.3,"Romania","Danube","Yes","No","Acipenser stellatus","Acipenseridae","other annual rings"
194,"TL",0.051,-10,"M",NA,NA,NA,3.28,"Romania","Danube","Yes","No","Acipenser stellatus","Acipenseridae","other annual rings"
201,"TL",0.06,NA,"",0.16,14.3,NA,3.38,"Romania","","No","No","Acipenser stellatus","Acipenseridae","&nbsp"
231,"TL",0.109,-1.36,NA,NA,NA,NA,3.76,"France","Gironde estuary","Yes","No","Acipenser sturio","Acipenseridae","other annual rings"
500,"TL",0.03,-2.8,NA,NA,NA,NA,3.88,"","Europe (not specified)","No","No","Acipenser sturio","Acipenseridae","others"
276,"FL",0.035,-1.13,NA,0.11,15,160,3.42,"USA","Lower Columbia River","No","No","Acipenser transmontanus","Acipenseridae","other annual rings"
300,"TL",0.06,NA,NA,0.03,22,112,3.73,"Mexico","Gulf of California","No","No","Acipenser transmontanus","Acipenseridae","&nbsp"
350,"TL",0.04,NA,NA,NA,10,NA,3.69,"Canada","Fraser River, British Columbia","No","No","Acipenser transmontanus","Acipenseridae","&nbsp"
11.8,"TL",0.86,NA,NA,NA,NA,NA,2.08,"Indonesia","Ose and Marsegu Islands (Mar 1988-Jan 1999)","No","No","Acreichthys tomentosus","Monacanthidae","length-frequencies"
2.5,"TL",2.42,NA,NA,NA,NA,NA,1.18,"USA","Key Biscayne, Miami, Florida","No","Yes","Acyrtops beryllinus","Gobiesocidae","direct observation"
40.9,"TL",0.04,-3.6,NA,NA,NA,NA,1.83,"Antarctica","Weddell Sea","No","No","Aethotaxis mitopteryx mitopteryx","Nototheniidae","annuli on many otoliths"
4.1,"TL",8.51,NA,NA,NA,NA,NA,2.16,NA,"aquarium","Yes","Yes","Agamyxis albomaculatus","Doradidae","direct observation"
47.9,"TL",0.29,NA,NA,NA,20,NA,2.82,"Argentina","Puerto Sánchez, Rio Paraná","No","No","Ageneiosus militaris","Auchenipteridae","length-frequencies"
71,"SL",0.31,NA,NA,NA,NA,33.9,3.19,"Colombia","Magdalena River basin","No","No","Ageneiosus pardalis","Auchenipteridae","length-frequencies"
35,"TL",0.26,NA,NA,NA,NA,NA,2.5,"Brazil","Itaipu reservoir","No","No","Ageneiosus ucayalensis","Auchenipteridae","length-frequencies"
35,"TL",0.41,NA,NA,NA,NA,NA,2.7,"Brazil","Itaipu reservoir","No","No","Ageneiosus ucayalensis","Auchenipteridae","length-frequencies"
15,"TL",0.475,-0.15,NA,1.4,12,NA,2.03,"France","Seine Bight, Normandy Coast","No","No","Agonus cataphractus","Agonidae","&nbsp"
54.9,"OT",0.022,-7.54,"F",NA,NA,26,1.82,"Alaska","Gulf of Alaska","No","No","Albatrossia pectoralis","Macrouridae","annuli on many otoliths"
94.2,"TL",0.2,NA,"M",NA,NA,NA,3.25,"Russia","Pacific waters off the northern Kuril Isl. And southeastern Kamchatka","Yes","No","Albatrossia pectoralis","Macrouridae","annuli on many otoliths"
116.9,"",0.15,-0.42,"F",NA,NA,NA,3.31,"Russia","Kuril Islands","No","No","Albatrossia pectoralis","Macrouridae","scale annual rings"
121.5,"TL",0.16,0.13,"F",NA,NA,NA,3.37,"USA","Western Gulf of Alaska","No","No","Albatrossia pectoralis","Macrouridae","scale annual rings"
126.9,"TL",0.12,NA,"F",NA,NA,NA,3.29,"Russia","Pacific waters off the northern Kuril Isl. And southeastern Kamchatka","No","No","Albatrossia pectoralis","Macrouridae","&nbsp"
128.7,"TL",0.13,0.23,"F",NA,NA,NA,3.33,"USA","Eastern Bering Sea","No","No","Albatrossia pectoralis","Macrouridae","scale annual rings"
134.4,"TL",0.17,0.82,"",NA,NA,NA,3.49,"Russia","Kurils and Kamchatka","Yes","No","Albatrossia pectoralis","Macrouridae","scale annual rings"
137.4,"TL",0.12,0.13,"F",NA,NA,NA,3.36,"Russia","East Kamchatka","No","No","Albatrossia pectoralis","Macrouridae","scale annual rings"
30.2,"TL",0.104,NA,NA,NA,NA,NA,1.98,"Hawaii",NA,"No","No","Albula glossodonta","Albulidae","tagging/recapture"
27.8,"SL",0.486,-1.45,"",NA,23,NA,2.57,"Mexico","Guyamas, Sonora (27°54-58'N, 110°57'-111°W)","Yes","No","Albula vulpes","Albulidae","annuli on many otoliths"
66.3,"FL",0.22,NA,"",NA,24,NA,2.99,"USA","South Florida","No","No","Albula vulpes","Albulidae","scale annual rings"
67.1,"FL",0.242,-1.32,"M",NA,25.9,NA,3.04,"USA","Florida Keys","No","No","Albula vulpes","Albulidae","annuli on many otoliths"
68.1,"FL",0.279,-0.93,"F",NA,25.9,NA,3.11,"USA","Florida Keys","No","No","Albula vulpes","Albulidae","annuli on many otoliths"
102,"FL",0.301,NA,"",NA,21,NA,3.5,"South Africa","","No","No","Albula vulpes","Albulidae","&nbsp"
10.3,"SL",0.36,NA,"",NA,NA,NA,1.58,"Estonia","Emajõgi River basin","No","No","Alburnoides bipunctatus","Cyprinidae","scale annual rings"
12,"TL",0.59,-0.14,"",NA,NA,NA,1.93,"Bosnia Herzegov.","Sava River, Medsave, near Slovenian border","No","No","Alburnoides bipunctatus","Cyprinidae","scale annual rings"
14.1,"TL",0.27,-0.92,"M",NA,NA,NA,1.73,"Iran","Uzineh qanat (36°50?48? N, 54°29?23? E), central Golestan Province","No","No","Alburnoides bipunctatus","Cyprinidae","scale annual rings"
14.3,"SL",0.314,NA,"",NA,NA,NA,1.81,"Hungary","River Sajó","No","No","Alburnoides bipunctatus","Cyprinidae","length-frequencies"
14.4,"TL",0.3,NA,"",NA,NA,NA,1.79,"Romania","Radimna River","No","No","Alburnoides bipunctatus","Cyprinidae","&nbsp"
15.1,"TL",0.28,-0.86,"",NA,NA,NA,1.81,"Croatia","middle Korana","No","No","Alburnoides bipunctatus","Cyprinidae","scale annual rings"
15.4,"TL",0.23,-1.08,"F",NA,NA,NA,1.74,"Iran","Uzineh qanat (36°50?48? N, 54°29?23? E), central Golestan Province","No","No","Alburnoides bipunctatus","Cyprinidae","scale annual rings"
15.5,"TL",0.33,-0.42,"",NA,NA,NA,1.9,"Croatia","Bednja River","No","No","Alburnoides bipunctatus","Cyprinidae","scale annual rings"
15.6,"TL",0.28,NA,"",NA,NA,NA,1.83,"Czechia","Turiec River","No","No","Alburnoides bipunctatus","Cyprinidae","&nbsp"
17.7,"TL",0.19,-1.47,"",NA,NA,NA,1.77,"Croatia","lowere Korana","No","No","Alburnoides bipunctatus","Cyprinidae","scale annual rings"
20.1,"TL",0.15,NA,"",NA,NA,NA,1.78,"Czechia","Dunajec River","No","No","Alburnoides bipunctatus","Cyprinidae","&nbsp"
20.5,"TL",0.16,-0.14,"",NA,NA,NA,1.83,"Croatia","Dobra River","No","No","Alburnoides bipunctatus","Cyprinidae","scale annual rings"
10,"TL",0.51,-0.72,"M",NA,NA,NA,1.7,"Iran","Zarrin-Gol River, northern region","No","No","Alburnoides eichwaldii","Cyprinidae","&nbsp"
10.4,"TL",1.19,NA,"",NA,NA,NA,2.11,"Iran","Kesselian Stream, Caspian Sea","No","No","Alburnoides eichwaldii","Cyprinidae","&nbsp"
10.7,"TL",0.55,-0.55,"F",NA,NA,NA,1.8,"Iran","Zarrin-Gol River, northern region","No","No","Alburnoides eichwaldii","Cyprinidae","&nbsp"
12.3,"TL",0.29,-1,"",NA,NA,NA,1.64,"Iran","Tajan River, Caspian basin","No","No","Alburnoides eichwaldii","Cyprinidae","scale annual rings"
14.7,"TL",0.27,-0.92,"M",NA,15,NA,1.77,"Iran","Qanat of Uzineh ((36°50?48?N, 54°29?23?E)","No","No","Alburnoides eichwaldii","Cyprinidae","scale annual rings"
15.4,"TL",0.23,-1.08,"F",NA,15,NA,1.74,"Iran","Qanat of Uzineh ((36°50?48?N, 54°29?23?E)","No","No","Alburnoides eichwaldii","Cyprinidae","scale annual rings"
11.3,"TL",0.54,0.18,NA,NA,NA,NA,1.84,"Iran","Jajrud, Namak basin","Yes","No","Alburnoides namaki","Cyprinidae","scale annual rings"
12,"TL",0.29,-1,NA,NA,NA,NA,1.62,"Iran","Cheshme Ali, Kavir basin","No","No","Alburnoides namaki","Cyprinidae","scale annual rings"
12.2,"TL",0.27,-0.76,NA,NA,NA,NA,1.6,"Iran","Gharachai, Namk basin","No","No","Alburnoides namaki","Cyprinidae","scale annual rings"
9.3,"TL",0.49,NA,"M",NA,NA,NA,1.63,"Iran","Moshkan Stream, Kor River basin (30?36'16.9''N; 52?56'40.1''E)","No","No","Alburnoides qanati","Cyprinidae","length-frequencies"
12.4,"TL",0.31,NA,"F",NA,NA,NA,1.68,"Iran","Moshkan Stream, Kor River basin (30?36'16.9''N; 52?56'40.1''E)","No","No","Alburnoides qanati","Cyprinidae","length-frequencies"
12.4,"TL",0.577,-0.15,"M",NA,NA,NA,1.95,"Greece","Lake Koronia (1986-1988)","No","No","Alburnus alburnus","Cyprinidae","scale annual rings"
15.3,"TL",0.369,-0.23,"F",NA,NA,NA,1.94,"Greece","Lake Koronia (1986-1988)","No","No","Alburnus alburnus","Cyprinidae","scale annual rings"
15.5,"TL",0.352,-0.28,"",NA,NA,NA,1.93,"Greece","Lake Koronia (1986-1988)","No","No","Alburnus alburnus","Cyprinidae","scale annual rings"
20,"TL",0.52,NA,"",0.17,NA,NA,2.32,"Albania","Lake Shkrodra","No","No","Alburnus alburnus","Cyprinidae","length-frequencies"
21.1,"TL",0.19,-0.9,"",NA,NA,NA,1.93,"UK","British Isles","No","No","Alburnus alburnus","Cyprinidae","others"
26.3,"TL",0.31,-0.47,"",NA,NA,NA,2.33,"Germany","Schleswig-Holstein","No","No","Alburnus alburnus","Cyprinidae","&nbsp"
13.6,"FL",0.43,-1.34,"M",NA,NA,NA,1.9,"Greece","Mikri Prespa Lake","No","No","Alburnus belvica","Cyprinidae","scale annual rings"
34.7,"FL",0.103,-1.43,"F",NA,NA,NA,2.09,"Greece","Mikri Prespa lake","No","No","Alburnus belvica","Cyprinidae","scale annual rings"
34.9,"FL",0.107,-1.26,"",NA,NA,NA,2.12,"Greece","Lake Mikri Prespa","No","No","Alburnus belvica","Cyprinidae","scale annual rings"
20.6,"FL",0.18,NA,"",NA,NA,NA,1.88,"Ukraine","Salgir and Chornaya rivers","No","No","Alburnus chalcoides","Cyprinidae","scale annual rings"
25.6,"FL",0.137,-3.22,"F",NA,NA,NA,1.95,"Greece","Lake Volvi","No","No","Alburnus chalcoides","Cyprinidae","scale annual rings"
26.2,"FL",0.137,-2.63,"",NA,NA,NA,1.97,"Greece","Lake Volvi","No","No","Alburnus chalcoides","Cyprinidae","scale annual rings"
28.1,"FL",0.128,-2.13,"M",NA,NA,NA,2,"Greece","Lake Volvi","No","No","Alburnus chalcoides","Cyprinidae","scale annual rings"
29.1,"FL",0.34,NA,"",NA,NA,NA,2.46,"","Aral Sea","No","No","Alburnus chalcoides","Cyprinidae","scale annual rings"
32.6,"FL",0.109,-1.65,"F",NA,NA,NA,2.06,"Greece","Lake Vistonis","No","No","Alburnus chalcoides","Cyprinidae","scale annual rings"
33,"FL",0.107,-1.73,"",NA,NA,NA,2.07,"Greece","Lake Vistonis","No","No","Alburnus chalcoides","Cyprinidae","scale annual rings"
33.6,"FL",0.105,-1.82,"M",NA,NA,NA,2.07,"Greece","Lake Vistonis","No","No","Alburnus chalcoides","Cyprinidae","scale annual rings"
39.9,"FL",0.18,NA,"",NA,NA,NA,2.46,"Russia","Kuban River","No","No","Alburnus chalcoides","Cyprinidae","scale annual rings"
19.6,"FL",0.14,-1.39,"F",NA,NA,12.8,1.73,"Turkey","Karakaya Dam Lake","No","No","Alburnus mossulensis","Cyprinidae","scale annual rings"
20.1,"FL",1.4,-1.04,"M",NA,NA,12.8,2.75,"Turkey","Karakaya Dam Lake","No","No","Alburnus mossulensis","Cyprinidae","scale annual rings"
20.4,"TL",0.35,-0.28,"",NA,NA,8,2.16,"Iraq","Chybaish region, Euphrates River (30°56', 30°57' N; 47°05', 48°00'E)","No","No","Alburnus mossulensis","Cyprinidae","scale annual rings"
40,"TL",0.51,-0.03,NA,NA,NA,NA,2.91,"Australia","Swan-Avon estuary","No","No","Aldrichetta forsteri","Mugilidae","scale annual rings"
105,"FL",0.17,0.02,NA,NA,29,NA,3.27,"Yemen","Gulf of Aden","No","No","Alectis indica","Carangidae","other annual rings"
17,"FL",1.2,NA,NA,NA,28.7,NA,2.54,"Philippines","Ragay Gulf","No","No","Alepes djedaba","Carangidae","length-frequencies"
32.6,"TL",0.61,NA,NA,NA,27,18.9,2.81,"India","Kerala","No","No","Alepes djedaba","Carangidae","length-frequencies"
17.1,"TL",0.83,NA,NA,NA,27,12.9,2.39,"India","south-west coast","No","No","Alepes kleinii","Carangidae","length-frequencies"
25,"FL",0.85,NA,NA,NA,28.7,NA,2.73,"Philippines","Guimaras Strait","No","No","Alepes melanoptera","Carangidae","length-frequencies"
85.3,"SL",0.077,1.45,NA,NA,11,NA,2.75,"France","Southern Brittany (800-1300 m depth)","Yes","No","Alepocephalus bairdii","Alepocephalidae","annuli on many otoliths"
21.7,"TL",0.862,-0.87,"",NA,14,NA,2.61,"Spain","Barcelona-Majorca (40-24°N, 1-4°E)","Yes","No","Alepocephalus rostratus","Alepocephalidae","annuli on many otoliths"
40.8,"TL",0.1,-3.15,"M",NA,NA,23.6,2.22,"Spain","Catalan Sea (38°45'N to 42°00'N; >500 - 2209 m depths)","No","No","Alepocephalus rostratus","Alepocephalidae","annuli on many otoliths"
47.4,"TL",0.08,-2.97,"F",NA,NA,27.7,2.25,"Spain","Catalan Sea (38°45'N to 42°00'N; >500 - 2209 m depths)","No","No","Alepocephalus rostratus","Alepocephalidae","annuli on many otoliths"
64,"TL",0.3,NA,NA,0.4,4,NA,3.09,"USA","California current","No","No","Alepocephalus tenebrosus","Alepocephalidae","annuli on many otoliths"
21.2,"SL",0.807,NA,"M",NA,NA,16.5,2.56,"Cote d'Ivoire","rivers","No","No","Alestes baremoze","Alestidae","&nbsp"
22.6,"SL",0.801,NA,"M",NA,25,NA,2.61,"Chad","Archipelago","No","No","Alestes baremoze","Alestidae","&nbsp"
23.4,"SL",0.843,NA,"F",NA,NA,17.5,2.66,"Cote d'Ivoire","rivers","No","No","Alestes baremoze","Alestidae","&nbsp"
23.8,"SL",0.816,NA,"M",NA,25,19,2.66,"Chad","Chari-Logone River system, Lake Chad","No","No","Alestes baremoze","Alestidae","&nbsp"
23.9,"SL",0.391,NA,"M",NA,NA,NA,2.35,"Niger","","No","No","Alestes baremoze","Alestidae","&nbsp"
25.2,"SL",0.696,NA,"M",NA,25,18,2.65,"Chad","Chad basin","No","No","Alestes baremoze","Alestidae","&nbsp"
25.7,"SL",0.418,NA,"F",NA,NA,NA,2.44,"Niger","","No","No","Alestes baremoze","Alestidae","&nbsp"
26,"SL",0.699,NA,"F",NA,25,NA,2.67,"Chad","Archipelago","No","No","Alestes baremoze","Alestidae","&nbsp"
26.6,"SL",0.717,NA,"F",NA,25,21,2.71,"Chad","Chari-Logone River system, Lake Chad","No","No","Alestes baremoze","Alestidae","&nbsp"
29.2,"SL",0.518,NA,"F",0.87,25,20.5,2.65,"Chad","Chad basin","No","No","Alestes baremoze","Alestidae","&nbsp"
29.7,"SL",0.77,NA,"",NA,28,NA,2.83,"Cote d'Ivoire","Lake Koussou","No","No","Alestes baremoze","Alestidae","length-frequencies"
42.9,"SL",0.418,NA,"M",NA,NA,NA,2.89,"Kenya","Lake Rudolf/Turkana","Yes","No","Alestes baremoze","Alestidae","&nbsp"
62.8,"SL",0.232,NA,"F",NA,NA,NA,2.96,"Kenya","Lake Rudolf/Turkana","Yes","No","Alestes baremoze","Alestidae","&nbsp"
28.9,"SL",0.56,NA,"M",NA,27,NA,2.67,"Mali","MiddleNiger","No","No","Alestes dentex","Alestidae","length-frequencies"
30.5,"TL",0.75,NA,"",NA,28,NA,2.84,"Senegal","Sénégal River","No","No","Alestes dentex","Alestidae","length-frequencies"
33.4,"SL",0.43,NA,"F",NA,27,NA,2.68,"Mali","MiddleNiger","No","No","Alestes dentex","Alestidae","length-frequencies"
38.6,"TL",1.091,NA,NA,NA,NA,NA,3.21,"Zambia","Lake Bangweulu","No","No","Alestes macrophthalmus","Alestidae","length-frequencies"
34,"TL",0.41,1.72,NA,NA,NA,NA,2.68,"Russia","Pacific off Kurils and Kamchatka","Yes","No","Allocareproctus jordani","Liparidae","annuli on many otoliths"
37.2,"TL",0.056,-16.4,"M",NA,11,NA,1.89,"New Zealand","Chatham Rise and Puysegur-Snares","Yes","No","Allocyttus niger","Oreosomatidae","annuli on many otoliths"
39.9,"TL",0.043,-17.6,"F",NA,11,34,1.84,"New Zealand","Chatham Rise and Puysegur-Snares","Yes","No","Allocyttus niger","Oreosomatidae","annuli on many otoliths"
182,"OT",0.118,-5.48,"M",0.1,22,143,3.59,"Taiwan","Northwestern waters","Yes","No","Alopias pelagicus","Alopiidae","other annual rings"
197,"OT",0.085,-7.67,"F",NA,22,148,3.52,"Taiwan","Northwestern waters","Yes","No","Alopias pelagicus","Alopiidae","other annual rings"
246,"FL",0.09,NA,"M",NA,NA,NA,3.74,"","Atlantic Ocean between 38°N and 35°S","No","No","Alopias superciliosus","Alopiidae","other annual rings"
284,"FL",0.06,NA,"F",NA,NA,NA,3.68,"","Atlantic Ocean between 38°N and 35°S","No","No","Alopias superciliosus","Alopiidae","other annual rings"
385,"TL",0.088,-4.24,"M",NA,22,NA,4.12,"Taiwan","Northeastern waters","No","No","Alopias superciliosus","Alopiidae","other annual rings"
422,"TL",0.092,-4.21,"F",0.1,22,NA,4.21,"Taiwan","Northeastern waters","No","No","Alopias superciliosus","Alopiidae","other annual rings"
227,"FL",0.16,NA,"M",NA,NA,NA,3.92,"USA","western North Atlantic","No","No","Alopias vulpinus","Alopiidae","other annual rings"
264,"FL",0.11,NA,"F",0.08,NA,NA,3.88,"USA","western North Atlantic","No","No","Alopias vulpinus","Alopiidae","other annual rings"
416.2,"TL",0.189,-2.08,"M",NA,NA,302,4.52,"USA","California","Yes","No","Alopias vulpinus","Alopiidae","other annual rings"
464.3,"TL",0.124,-3.35,"F",0.08,NA,303,4.43,"USA","California / Oregon","No","No","Alopias vulpinus","Alopiidae","other annual rings"
651,"TL",0.1,-2.36,"",0.23,14,NA,4.63,"USA","California","No","No","Alopias vulpinus","Alopiidae","other annual rings"
60.1,"TL",0.576,NA,"M",NA,NA,NA,3.32,"Morocco","Sebou River","No","No","Alosa alosa","Clupeidae","scale annual rings"
61,"TL",0.384,NA,"M",NA,NA,NA,3.15,"France","Adour River","No","No","Alosa alosa","Clupeidae","&nbsp"
67,"TL",0.288,NA,"M",NA,NA,NA,3.11,"France","Loire River","No","No","Alosa alosa","Clupeidae","&nbsp"
68.6,"TL",0.528,NA,"F",NA,NA,NA,3.4,"Morocco","Sebou River","No","No","Alosa alosa","Clupeidae","scale annual rings"
68.6,"TL",0.288,NA,"M",NA,NA,32.5,3.13,"France","Garonne River","No","No","Alosa alosa","Clupeidae","&nbsp"
70.1,"TL",0.288,NA,"F",NA,NA,NA,3.15,"France","Loire River","No","No","Alosa alosa","Clupeidae","&nbsp"
75.4,"TL",0.264,NA,"F",0.44,NA,NA,3.18,"France","Adour River","No","No","Alosa alosa","Clupeidae","&nbsp"
91.6,"TL",0.192,NA,"F",NA,NA,47.5,3.21,"France","Garonne River","No","No","Alosa alosa","Clupeidae","&nbsp"
33.6,"FL",0.63,-0.21,NA,NA,NA,NA,2.85,"Russia","Norhern Caspian Sea","No","No","Alosa braschnikowi","Clupeidae","scale annual rings"
36.1,"FL",0.28,0.28,NA,NA,NA,NA,2.56,"","Mertvyi Kultuk, NE Caspioan Sea","Yes","No","Alosa braschnikowi","Clupeidae","scale annual rings"
36.4,"FL",0.36,-0.07,NA,NA,NA,NA,2.68,"","Southeastern Caspian Sea","No","No","Alosa braschnikowi","Clupeidae","scale annual rings"
50,"FL",0.22,1.43,NA,NA,NA,NA,2.74,"","Durnev Isl., NE Caspian Sea","Yes","No","Alosa braschnikowi","Clupeidae","scale annual rings"
24.1,"TL",0.3,-1.58,NA,NA,NA,NA,2.24,NA,"Northeastern Caspian Sea","No","No","Alosa caspia caspia","Clupeidae","scale annual rings"
32.8,"TL",0.545,-0.02,"M",NA,NA,16.5,2.77,"Tunisia","Lake Ichkeul","No","No","Alosa fallax","Clupeidae","scale annual rings"
38.4,"TL",0.431,-0.01,"F",NA,NA,NA,2.8,"Tunisia","Lake Ichkeul","No","No","Alosa fallax","Clupeidae","scale annual rings"
38.4,"TL",0.555,NA,"M",NA,NA,NA,2.91,"France","Garonne River","No","No","Alosa fallax","Clupeidae","&nbsp"
44.9,"TL",0.504,NA,"M",NA,NA,NA,3.01,"France","Loire River","No","No","Alosa fallax","Clupeidae","&nbsp"
49.3,"TL",0.255,-0.58,"M",NA,NA,NA,2.79,"Tunisia","Miliane and Medjerdah rivers","No","No","Alosa fallax","Clupeidae","scale annual rings"
50,"TL",0.405,NA,"F",NA,NA,NA,3.01,"France","Garonne River","No","No","Alosa fallax","Clupeidae","&nbsp"
52.4,"TL",0.387,NA,"F",NA,NA,NA,3.03,"France","Loire River","No","No","Alosa fallax","Clupeidae","&nbsp"
54.8,"TL",0.303,NA,"F",NA,NA,NA,2.96,"France","Adour River","No","No","Alosa fallax","Clupeidae","&nbsp"
54.9,"TL",0.227,-0.58,"F",NA,NA,28.5,2.84,"Tunisia","Miliane and Medjerdah rivers","No","No","Alosa fallax","Clupeidae","scale annual rings"
55.3,"TL",0.375,NA,"M",NA,NA,NA,3.06,"France","Rhône River","No","No","Alosa fallax","Clupeidae","&nbsp"
56.9,"TL",0.349,NA,"M",NA,NA,NA,3.05,"France","Aude River","No","No","Alosa fallax","Clupeidae","&nbsp"
60,"TL",0.354,NA,"F",NA,NA,NA,3.11,"France","Rhône River","No","No","Alosa fallax","Clupeidae","&nbsp"
64.8,"TL",0.212,NA,"M",NA,NA,NA,2.95,"France","Adour River","No","No","Alosa fallax","Clupeidae","&nbsp"
65,"TL",0.22,NA,"",NA,NA,NA,2.97,"Germany","Elbe River (May)","No","No","Alosa fallax","Clupeidae","annuli on many otoliths"
65.9,"TL",0.295,NA,"F",NA,NA,NA,3.11,"France","Aude River","No","No","Alosa fallax","Clupeidae","&nbsp"
38.6,"FL",0.32,-0.03,"M",0.62,14.3,NA,2.68,"Bulgaria","Black Sea","No","No","Alosa immaculata","Clupeidae","&nbsp"
42.6,"FL",0.226,-0.4,"F",0.62,14.3,NA,2.61,"Bulgaria","Black Sea","No","No","Alosa immaculata","Clupeidae","&nbsp"
35.2,"NG",0.47,0.06,NA,NA,NA,NA,2.77,"Russia","Central and lower part","No","No","Alosa kessleri","Clupeidae","scale annual rings"
18.3,"TL",0.402,-1.27,"M",NA,NA,NA,2.13,"Greece","Lake Volvi (1978)","No","No","Alosa macedonica","Clupeidae","scale annual rings"
18.5,"TL",0.403,-1.49,"F",NA,NA,NA,2.14,"Greece","Lake Volvi (1978)","No","No","Alosa macedonica","Clupeidae","scale annual rings"
18.8,"TL",0.374,-1.51,"",NA,NA,NA,2.12,"Greece","Lake Volvi (1978)","No","No","Alosa macedonica","Clupeidae","scale annual rings"
61,"TL",0.3,NA,NA,NA,NA,NA,3.05,"USA","eastern region","No","No","Alosa mediocris","Clupeidae","&nbsp"
16.8,"TL",0.694,NA,"M",NA,NA,NA,2.29,"USA","Lake Ontario","No","No","Alosa pseudoharengus","Clupeidae","&nbsp"
17.3,"TL",0.693,NA,"F",NA,NA,NA,2.32,"USA","Lake Ontario","No","No","Alosa pseudoharengus","Clupeidae","&nbsp"
19.4,"TL",0.484,NA,"M",NA,NA,NA,2.26,"USA","Lake Michigan","No","No","Alosa pseudoharengus","Clupeidae","&nbsp"
19.9,"TL",0.47,NA,"",0.7,20,NA,2.27,"USA","Lake Michigan","No","No","Alosa pseudoharengus","Clupeidae","scale annual rings"
20.4,"TL",0.462,NA,"F",NA,20,NA,2.28,"USA","Lake Michigan","No","No","Alosa pseudoharengus","Clupeidae","&nbsp"
21.4,"TL",0.405,NA,"",NA,NA,NA,2.27,"USA","Lake Michigan","No","No","Alosa pseudoharengus","Clupeidae","&nbsp"
46.3,"FL",0.47,NA,"M",NA,NA,NA,3,"Canada","St. Johns River","Yes","No","Alosa sapidissima","Clupeidae","scales"
48.8,"FL",0.48,NA,"F",NA,NA,NA,3.06,"Canada","St. Johns River","Yes","No","Alosa sapidissima","Clupeidae","scales"
73.1,"FL",0.2,NA,"",NA,NA,NA,3.03,"Canada","","No","No","Alosa sapidissima","Clupeidae","scales"
